timestamp,battery_value,tensao,corrente
2025-06-13 20:56:26,99,3933,6
2025-06-13 20:56:52,99,3932,6
2025-06-13 20:57:18,99,3932,6
2025-06-13 20:57:44,99,3932,6
2025-06-13 20:58:11,99,3931,6
2025-06-13 20:58:37,99,3931,6
2025-06-13 20:59:03,99,3931,6
2025-06-13 20:59:29,99,3930,6
2025-06-13 20:59:55,99,3930,6
2025-06-13 21:00:22,99,3929,6
2025-06-13 21:00:48,99,3929,6
2025-06-13 21:01:14,99,3928,6
2025-06-13 21:01:40,99,3928,6
2025-06-13 21:02:07,99,3928,6
2025-06-13 21:02:33,99,3928,6
2025-06-13 21:02:59,99,3927,6
2025-06-13 21:03:25,99,3927,6
2025-06-13 21:03:52,99,3927,6
2025-06-13 21:04:18,99,3926,6
2025-06-13 21:04:44,99,3926,6
2025-06-13 21:05:10,99,3925,6
2025-06-13 21:05:36,99,3925,6
2025-06-13 21:06:03,99,3925,6
2025-06-13 21:06:29,99,3925,6
2025-06-13 21:06:55,99,3924,6
2025-06-13 21:07:21,99,3924,6
2025-06-13 21:07:48,99,3924,6
2025-06-13 21:08:14,99,3923,6
2025-06-13 21:08:40,99,3923,6
2025-06-13 21:09:06,99,3922,6
2025-06-13 21:09:33,99,3922,6
2025-06-13 21:09:59,99,3921,6
2025-06-13 21:10:25,99,3921,6
2025-06-13 21:10:51,99,3921,6
2025-06-13 21:11:17,99,3921,6
2025-06-13 21:11:44,99,3920,6
2025-06-13 21:12:10,99,3920,6
2025-06-13 21:12:36,99,3920,6
2025-06-13 21:13:02,99,3920,6
2025-06-13 21:13:29,99,3920,6
2025-06-13 21:13:55,99,3919,6
2025-06-13 21:14:21,99,3919,6
2025-06-13 21:14:47,99,3919,6
2025-06-13 21:15:13,99,3919,6
2025-06-13 21:15:40,99,3918,6
2025-06-13 21:16:06,99,3918,6
2025-06-13 21:16:32,99,3917,6
2025-06-13 21:16:58,99,3917,6
2025-06-13 21:17:25,99,3917,6
2025-06-13 21:17:51,99,3917,6
2025-06-13 21:18:17,99,3917,6
2025-06-13 21:18:43,99,3916,6
2025-06-13 21:19:09,99,3916,6
2025-06-13 21:19:36,99,3916,6
2025-06-13 21:20:02,99,3916,6
2025-06-13 21:20:28,99,3915,6
2025-06-13 21:20:54,99,3915,6
2025-06-13 21:21:21,99,3914,6
2025-06-13 21:21:47,99,3914,6
2025-06-13 21:22:13,99,3914,6
2025-06-13 21:22:39,99,3914,6
2025-06-13 21:23:05,99,3914,6
2025-06-13 21:23:32,99,3913,6
2025-06-13 21:23:58,99,3913,6
2025-06-13 21:24:24,99,3912,6
2025-06-13 21:24:50,99,3912,6
2025-06-13 21:25:17,99,3912,6
2025-06-13 21:25:43,99,3912,6
2025-06-13 21:26:09,99,3911,6
2025-06-13 21:26:35,99,3911,6
2025-06-13 21:27:01,99,3911,6
2025-06-13 21:27:28,99,3911,6
2025-06-13 21:27:54,99,3911,6
2025-06-13 21:28:20,99,3910,6
2025-06-13 21:28:46,99,3910,6
2025-06-13 21:29:13,99,3909,6
2025-06-13 21:29:39,99,3909,6
2025-06-13 21:30:05,99,3908,6
2025-06-13 21:30:31,99,3908,6
2025-06-13 21:30:57,99,3908,6
2025-06-13 21:31:24,99,3908,6
2025-06-13 21:31:50,99,3908,6
2025-06-13 21:32:16,99,3907,6
2025-06-13 21:32:42,99,3907,6
2025-06-13 21:33:08,99,3907,6
2025-06-13 21:33:35,99,3907,6
2025-06-13 21:34:01,99,3906,6
2025-06-13 21:34:27,99,3906,6
2025-06-13 21:34:53,99,3905,6
2025-06-13 21:35:19,99,3905,6
2025-06-13 21:35:46,99,3905,6
2025-06-13 21:36:12,99,3905,6
2025-06-13 21:36:38,99,3905,6
2025-06-13 21:37:05,99,3904,6
2025-06-13 21:37:31,99,3904,6
2025-06-13 21:37:57,99,3903,6
2025-06-13 21:38:23,99,3903,6
2025-06-13 21:38:49,99,3903,6
2025-06-13 21:39:16,99,3903,6
2025-06-13 21:39:42,99,3902,6
2025-06-13 21:40:08,99,3902,6
2025-06-13 21:40:34,99,3902,6
2025-06-13 21:41:01,99,3902,6
2025-06-13 21:41:27,99,3902,6
2025-06-13 21:41:53,99,3901,6
2025-06-13 21:42:19,99,3901,6
2025-06-13 21:42:45,99,3900,6
2025-06-13 21:43:12,99,3900,6
2025-06-13 21:43:38,99,3900,6
2025-06-13 21:44:04,99,3900,6
2025-06-13 21:44:30,99,3899,6
2025-06-13 21:44:57,99,3899,6
2025-06-13 21:45:23,99,3898,6
2025-06-13 21:45:49,99,3898,6
2025-06-13 21:46:15,99,3898,6
2025-06-13 21:46:42,99,3898,6
2025-06-13 21:47:08,99,3898,6
2025-06-13 21:47:34,99,3897,6
2025-06-13 21:48:00,99,3897,6
2025-06-13 21:48:26,99,3897,6
2025-06-13 21:48:53,99,3897,6
2025-06-13 21:49:19,99,3896,6
2025-06-13 21:49:45,99,3896,6
2025-06-13 21:50:11,99,3895,6
2025-06-13 21:50:37,99,3895,6
2025-06-13 21:51:04,99,3895,6
2025-06-13 21:51:30,99,3894,6
2025-06-13 21:51:56,99,3894,6
2025-06-13 21:52:22,99,3894,6
2025-06-13 21:52:48,99,3894,6
2025-06-13 21:53:15,99,3893,6
2025-06-13 21:53:41,99,3893,6
2025-06-13 21:54:07,99,3893,6
2025-06-13 21:54:33,99,3893,6
2025-06-13 21:55:00,99,3892,6
2025-06-13 21:55:26,99,3892,6
2025-06-13 21:55:52,99,3892,6
2025-06-13 21:56:18,99,3891,6
2025-06-13 21:56:44,99,3891,6
2025-06-13 21:57:11,99,3891,6
2025-06-13 21:57:37,99,3891,6
2025-06-13 21:58:03,99,3890,6
2025-06-13 21:58:29,99,3890,6
2025-06-13 21:58:55,99,3889,6
2025-06-13 21:59:22,99,3889,6
2025-06-13 21:59:48,99,3889,6
2025-06-13 22:00:14,99,3889,6
2025-06-13 22:00:40,99,3889,6
2025-06-13 22:01:07,99,3888,6
2025-06-13 22:01:33,99,3888,6
2025-06-13 22:01:59,99,3888,6
2025-06-13 22:02:25,99,3888,6
2025-06-13 22:02:51,99,3887,6
2025-06-13 22:03:18,99,3887,6
2025-06-13 22:03:44,99,3886,6
2025-06-13 22:04:10,99,3886,6
2025-06-13 22:04:36,99,3886,6
2025-06-13 22:05:03,99,3886,6
2025-06-13 22:05:29,99,3885,6
2025-06-13 22:05:55,99,3885,6
2025-06-13 22:06:21,99,3885,6
2025-06-13 22:06:48,99,3885,6
2025-06-13 22:07:14,99,3885,6
2025-06-13 22:07:40,99,3884,6
2025-06-13 22:08:06,99,3884,6
2025-06-13 22:08:33,99,3884,6
2025-06-13 22:08:59,99,3884,6
2025-06-13 22:09:25,99,3883,6
2025-06-13 22:09:51,99,3883,6
2025-06-13 22:10:18,99,3882,6
2025-06-13 22:10:44,99,3882,6
2025-06-13 22:11:10,99,3882,6
2025-06-13 22:11:36,99,3882,6
2025-06-13 22:12:02,99,3882,6
2025-06-13 22:12:29,99,3881,6
2025-06-13 22:12:55,99,3881,6
2025-06-13 22:13:21,99,3881,6
2025-06-13 22:13:47,99,3881,6
2025-06-13 22:14:13,99,3880,6
2025-06-13 22:14:40,99,3880,6
2025-06-13 22:15:06,99,3879,6
2025-06-13 22:15:32,99,3879,6
2025-06-13 22:15:58,99,3879,6
2025-06-13 22:16:24,99,3879,6
2025-06-13 22:16:51,99,3879,6
2025-06-13 22:17:17,99,3879,6
2025-06-13 22:17:43,99,3879,6
2025-06-13 22:18:09,99,3878,6
2025-06-13 22:18:36,99,3878,6
2025-06-13 22:19:02,99,3877,6
2025-06-13 22:19:28,99,3877,6
2025-06-13 22:19:54,99,3877,6
2025-06-13 22:20:21,99,3877,6
2025-06-13 22:20:47,99,3877,6
2025-06-13 22:21:13,99,3876,6
2025-06-13 22:21:39,99,3876,6
2025-06-13 22:22:06,99,3876,6
2025-06-13 22:22:32,99,3876,6
2025-06-13 22:22:58,99,3875,6
2025-06-13 22:23:24,99,3875,6
2025-06-13 22:23:51,99,3875,6
2025-06-13 22:24:17,99,3875,6
2025-06-13 22:24:43,99,3874,6
2025-06-13 22:25:09,99,3874,6
2025-06-13 22:25:35,99,3874,6
2025-06-13 22:26:02,99,3874,6
2025-06-13 22:26:28,99,3874,6
2025-06-13 22:26:54,99,3873,6
2025-06-13 22:27:20,99,3873,6
2025-06-13 22:27:47,99,3873,6
2025-06-13 22:28:13,99,3873,6
2025-06-13 22:28:39,99,3872,6
2025-06-13 22:29:05,99,3872,6
2025-06-13 22:29:31,99,3871,6
2025-06-13 22:29:58,99,3871,6
2025-06-13 22:30:24,99,3871,6
2025-06-13 22:30:50,99,3871,6
2025-06-13 22:31:16,99,3871,6
2025-06-13 22:31:43,99,3871,6
2025-06-13 22:32:09,99,3871,6
2025-06-13 22:32:35,99,3870,6
2025-06-13 22:33:01,99,3870,6
2025-06-13 22:33:28,99,3869,6
2025-06-13 22:33:54,99,3869,6
2025-06-13 22:34:20,99,3869,6
2025-06-13 22:34:46,99,3869,6
2025-06-13 22:35:12,99,3869,6
2025-06-13 22:35:39,99,3868,6
2025-06-13 22:36:05,99,3868,6
2025-06-13 22:36:31,99,3868,6
2025-06-13 22:36:57,99,3868,6
2025-06-13 22:37:24,99,3868,6
2025-06-13 22:37:50,99,3868,6
2025-06-13 22:38:16,99,3867,6
2025-06-13 22:38:42,99,3867,6
2025-06-13 22:39:09,99,3866,6
2025-06-13 22:39:35,99,3866,6
2025-06-13 22:40:01,99,3866,6
2025-06-13 22:40:27,99,3866,6
2025-06-13 22:40:53,99,3866,6
